Memory Item,Category,Current Status,Original Information,Updated Information,Use or Ignore,Supporting Event IDs,Notes
ShieldPath Learning Lab,Project goal,Active,,"Owner: Team; Status: Active; Requirement: Privacy-first, no-sign-in learning with courses, local progress, browser practice, and release quality gates.",Use,,
Browser smoke tests,Current MVP feature,Completed,"Event ID: E002; Owner: Ishaan; Status: Planned; Requirement Change: Cover catalog, course, mock terminal, and progress flows without a live backend.; Note: The browser smoke suite is created as a frontend-only task.","Owner: Shaurya; Status: Completed; Requirement: Local static server, synthetic data, no live backend.",Use,E002; E008; E011; E013; E017; E020,
Local learner progress,Current MVP feature,Completed,Event ID: E012; Owner: Advay; Status: Planned; Requirement Change: Store non-sensitive progress locally without requiring sign-in.; Note: A no-sign-in progress panel is added to the fictional MVP.,"Owner: Aarohi; Status: Completed; Requirement: Store safe course, quiz, and challenge identifiers locally.",Use,E012; E023; E026; E031,
Shared quiz engine,Current MVP feature,Completed,Event ID: E018; Owner: Dhruv; Status: Planned; Requirement Change: Initially migrate every quiz page to one scoring engine.; Note: A shared quiz engine is planned to replace duplicated scoring logic.,Owner: Dhruv; Status: Completed; Requirement: Accepted first rollout covers two representative quizzes.,Use,E018; E024; E027; E032,
Terminal draft recovery,Current MVP feature,Completed,Event ID: E001; Owner: Aditya; Status: Planned; Requirement Change: Show a visible recovery prompt and discard control after reload.; Note: Draft recovery is planned with visible controls and challenge-scoped local storage.,Owner: Aditya; Status: Completed; Requirement: Show recovered state and confirmed discard control with challenge-scoped storage.,Use,E001; E004; E010; E015; E021; E022; E047; E050,
Cloud terminal deployment,Current MVP feature,Completed,Event ID: E025; Owner: Tavish; Status: Planned; Requirement Change: Use an OCI free-tier VM as the primary production deployment.; Note: OCI is selected as the first deployment path.,Owner: Tavish; Status: Completed; Requirement: Azure VM is the primary target.,Use,E025; E034; E036; E040,
Privacy-safe learning analytics,Current MVP feature,Completed,"Event ID: E041; Owner: Ishaan; Status: Planned; Requirement Change: Add quiz, progress, and Live Help events using allowlisted identifiers only.; Note: A privacy-safe funnel analytics expansion enters the plan.",Owner: Dhruv; Status: Completed; Requirement: Allowlisted primitive identifiers only; no answers or free text.,Use,E041; E044; E048; E049; E051; E055; E056,
Guided learning paths,Current MVP feature,Completed,Event ID: E052; Owner: Ashwin; Status: Planned; Requirement Change: Group existing courses into beginner-friendly paths without hiding the full catalog.; Note: Guided paths are added to the release plan.,Owner: Aryan Raj; Status: Completed; Requirement: Mobile-first paths must preserve the full manual catalog.,Use,E052; E060; E065; E068; E070; E073; E074; E076,
Static HTML QA gate,Current MVP feature,Completed,"Event ID: E054; Owner: Aditya; Status: Planned; Requirement Change: Check changed HTML for links, alt text, titles, and footer regressions.; Note: A deterministic changed-file quality gate is proposed.",Owner: Aditya; Status: Completed; Requirement: Changed-file checks ignore HTML comments and use a small explicit allowlist.,Use,E054; E057; E062; E064; E066; E069; E071; E075; E077; E078,
Project README refresh,Completed task,Completed,"Event ID: E058; Owner: Aarohi; Status: Active; Requirement Change: Add badges, multiple screenshots, and a detailed contributor guide.; Note: The initial README refresh favors a large presentation-heavy document.",Owner: Aarohi; Status: Completed; Requirement: Concise walkthrough with diagrams and a short setup path.,Use,E058; E063; E067,
Legacy accessibility cleanup,Open task,Delayed,Event ID: E072; Owner: Sukriti; Status: Planned; Requirement Change: Remediate Courses 1-3 without adding broad exemptions.; Note: A bounded accessibility cleanup is planned for the next release.,"Owner: Sidhaanth; Status: Delayed; Requirement: Courses 1-3 only; no broad allowlist; bounded target July 19, 2026.",Use,E072; E079; E080; E083; E084; E086; E089; E090,Keyboard-only smoke coverage is incomplete.
MVP release,Delayed task,Delayed,"Event ID: E009; Owner: Team; Status: Active; Requirement Change: Initial release target is July 13, 2026.; Note: The first release target is set to the end of Day 30.","Owner: Team; Status: Delayed; Requirement: Release target is July 17, 2026.",Use,E009; E081; E085,Keyboard-only smoke coverage is incomplete.
Live Help offline fallback,Canceled task,Canceled,"Event ID: E005; Owner: Sukriti; Status: Planned; Requirement Change: Add privacy notice, suggested prompts, and useful content when chat fails.; Note: A safer fallback experience for embedded Live Help enters the MVP plan.",Owner: Sukriti; Status: Canceled; Requirement: Removed from this MVP; retain as future backlog context only.,Ignore,E005; E029; E045,Historical or canceled information; do not use as current state.
Help Center prompt fallback,Future backlog feature,Future Backlog,Event ID: E087; Owner: Sukriti; Status: Future Backlog; Requirement Change: Revive a limited part of the canceled Live Help fallback under a new name for a future release.; Note: The canceled Live Help fallback is partly revived under a new name but remains outside the current MVP.,Owner: Sukriti; Status: Future Backlog; Requirement: Limited fallback retained for a future release; not current MVP.,Use,E087,
Standalone terminal demo mode,Canceled task,Canceled,Event ID: E007; Owner: Rohan; Status: Planned; Requirement Change: Add a separate demo launcher beside the existing mock terminal path.; Note: A standalone demo launcher is proposed as a separate MVP feature.,Owner: Rohan; Status: Canceled; Requirement: Existing mock mode covers the need.,Ignore,E007; E035,Historical or canceled information; do not use as current state.
Browser smoke test fixtures,Related active task,Active,Event ID: E088; Owner: Naysa; Status: Active; Requirement Change: Add fixture-only browser coverage without changing the end-to-end smoke suite.; Note: A similarly named fixture task is separate from the completed browser smoke tests.,Owner: Naysa; Status: Active; Requirement: Fixture-only browser coverage; separate from end-to-end browser smoke tests.,Use,E088,
Guided paths desktop mockup,Removed feature,Canceled,Event ID: E053; Owner: Ashwin; Status: Active; Note: A desktop-only mockup is circulated for review.,Owner: Ashwin; Status: Canceled; Requirement: Rejected for mobile usability; use the mobile-first layout.,Ignore,E053; E059,Historical or canceled information; do not use as current state.
Keyboard-only smoke coverage,Active blocker,Blocked,,Owner: Shaurya; Status: Blocked; Requirement: Core catalog and terminal controls must work without a pointer.,Use,,Coverage is incomplete.
Browser dependency installation,Resolved blocker,Completed,,Owner: Shaurya; Status: Completed; Requirement: Reuse the existing pinned Playwright stack.,Use,,
Root deployment routing,Resolved blocker,Completed,Event ID: E033; Owner: Ishaan; Status: Blocked; Blocker: Resume links break when the site is hosted at the domain root.; Note: The progress feature reveals a base-path routing bug in production.,Owner: Ishaan; Status: Completed; Requirement: One safe resolver supports root and subpath hosting.,Use,E033; E038,
Legacy analytics events,Resolved blocker,Completed,,Owner: Dhruv; Status: Completed; Requirement: Compatibility hook covers legacy quizzes without answers.,Use,,
Browser test framework,Current technical decision,Active,"Event ID: E003; Owner: Ishaan; Status: Planned; Requirement Change: Use Cypress for the first smoke suite.; Note: The team initially selects Cypress, but this technical choice is later abandoned.",Owner: Shaurya; Status: Active; Requirement: Use Playwright.,Use,E003; E014,
Deployment platform,Current technical decision,Active,,Owner: Tavish; Status: Active; Requirement: Use Azure as the primary deployment target.,Use,,
Guided paths layout,Current technical decision,Active,Event ID: E061; Owner: Ashwin; Status: Active; Requirement Change: Use a mobile-first path section while keeping every existing course link available.; Note: A responsive layout replaces the rejected desktop mockup.,Owner: Aryan Raj; Status: Active; Requirement: Use mobile-first paths and preserve manual course links.,Use,E061,
Cypress test framework,Replaced technical decision,Canceled,,Owner: Ishaan; Status: Canceled; Requirement: Replaced by Playwright.,Ignore,,Historical or canceled information; do not use as current state.
OCI-first deployment,Replaced technical decision,Canceled,,Owner: Tavish; Status: Canceled; Requirement: Replaced by Azure primary deployment.,Ignore,,Historical or canceled information; do not use as current state.
Silent-only draft recovery,Replaced technical decision,Canceled,,Owner: Aditya; Status: Canceled; Requirement: Replaced by visible recovered state and confirmed discard.,Ignore,,Historical or canceled information; do not use as current state.
MVP release,Current release target,Delayed,"Event ID: E009; Owner: Team; Status: Active; Requirement Change: Initial release target is July 13, 2026.; Note: The first release target is set to the end of Day 30.","Owner: Team; Status: Delayed; Requirement: July 17, 2026.",Use,E009; E081; E085,Keyboard-only smoke coverage is incomplete.
Terminal draft recovery,Outdated fact,Planned,Event ID: E001; Owner: Aditya; Status: Planned; Requirement Change: Show a visible recovery prompt and discard control after reload.; Note: Draft recovery is planned with visible controls and challenge-scoped local storage.,Do not use as current state.,Ignore,E001,"Historical event marked outdated, canceled, or irrelevant."
Browser smoke tests,Outdated fact,Planned,"Event ID: E002; Owner: Ishaan; Status: Planned; Requirement Change: Cover catalog, course, mock terminal, and progress flows without a live backend.; Note: The browser smoke suite is created as a frontend-only task.",Do not use as current state.,Ignore,E002,"Historical event marked outdated, canceled, or irrelevant."
Browser test framework,Canceled or irrelevant fact,Planned,"Event ID: E003; Owner: Ishaan; Status: Planned; Requirement Change: Use Cypress for the first smoke suite.; Note: The team initially selects Cypress, but this technical choice is later abandoned.",Do not use as current state.,Ignore,E003,"Historical event marked outdated, canceled, or irrelevant."
Terminal draft recovery,Outdated fact,Active,Event ID: E004; Owner: Aditya; Status: Active; Note: Implementation starts on challenge-scoped restore and discard behavior.,Do not use as current state.,Ignore,E004,"Historical event marked outdated, canceled, or irrelevant."
Live Help offline fallback,Outdated fact,Planned,"Event ID: E005; Owner: Sukriti; Status: Planned; Requirement Change: Add privacy notice, suggested prompts, and useful content when chat fails.; Note: A safer fallback experience for embedded Live Help enters the MVP plan.",Do not use as current state.,Ignore,E005,"Historical event marked outdated, canceled, or irrelevant."
Draft demo checklist,Canceled or irrelevant fact,Active,Event ID: E006; Owner: Team; Status: Active; Note: A one-day demo checklist is shared for the next review and should not guide later project answers.,Do not use as current state.,Ignore,E006,"Historical event marked outdated, canceled, or irrelevant."
Standalone terminal demo mode,Canceled or irrelevant fact,Planned,Event ID: E007; Owner: Rohan; Status: Planned; Requirement Change: Add a separate demo launcher beside the existing mock terminal path.; Note: A standalone demo launcher is proposed as a separate MVP feature.,Do not use as current state.,Ignore,E007,"Historical event marked outdated, canceled, or irrelevant."
Browser smoke tests,Outdated fact,Blocked,Event ID: E008; Owner: Ishaan; Status: Blocked; Blocker: CI cannot install the browser dependency reliably.; Note: The smoke suite is blocked by a browser installation hang in CI.,Do not use as current state.,Ignore,E008,"Historical event marked outdated, canceled, or irrelevant."
MVP release,Outdated fact,Active,"Event ID: E009; Owner: Team; Status: Active; Requirement Change: Initial release target is July 13, 2026.; Note: The first release target is set to the end of Day 30.",Do not use as current state.,Ignore,E009,"Historical event marked outdated, canceled, or irrelevant."
Terminal draft recovery,Outdated fact,Under Review,Event ID: E010; Owner: Ethan; Status: Under Review; Blocker: Drafts can appear under the wrong challenge after navigation.; Note: QA reproduces a challenge-scope leak during restore.,Do not use as current state.,Ignore,E010,"Historical event marked outdated, canceled, or irrelevant."
Local learner progress,Outdated fact,Planned,Event ID: E012; Owner: Advay; Status: Planned; Requirement Change: Store non-sensitive progress locally without requiring sign-in.; Note: A no-sign-in progress panel is added to the fictional MVP.,Do not use as current state.,Ignore,E012,"Historical event marked outdated, canceled, or irrelevant."
Browser smoke tests,Outdated fact,Blocked,Event ID: E013; Owner: Shaurya; Status: Blocked; Blocker: Browser dependency remains unavailable in CI.; Note: Smoke-test ownership moves from Ishaan to Shaurya while the installation blocker remains.,Do not use as current state.,Ignore,E013,"Historical event marked outdated, canceled, or irrelevant."
Terminal draft recovery,Outdated fact,Blocked,Event ID: E015; Owner: Aditya; Status: Blocked; Blocker: Saved work leaks between challenge identifiers.; Note: The recovery task is blocked until storage keys are challenge-scoped.,Do not use as current state.,Ignore,E015,"Historical event marked outdated, canceled, or irrelevant."
Experimental recovery branch,Canceled or irrelevant fact,Under Review,Event ID: E016; Owner: Aditya; Status: Under Review; Note: A temporary recovery experiment is opened for review.,Do not use as current state.,Ignore,E016,"Historical event marked outdated, canceled, or irrelevant."
Browser smoke tests,Outdated fact,Active,Event ID: E017; Owner: Shaurya; Status: Active; Requirement Change: Pinning the existing browser package removes the install hang.; Note: The CI installation blocker is resolved without adding a second browser stack.,Do not use as current state.,Ignore,E017,"Historical event marked outdated, canceled, or irrelevant."
Shared quiz engine,Outdated fact,Planned,Event ID: E018; Owner: Dhruv; Status: Planned; Requirement Change: Initially migrate every quiz page to one scoring engine.; Note: A shared quiz engine is planned to replace duplicated scoring logic.,Do not use as current state.,Ignore,E018,"Historical event marked outdated, canceled, or irrelevant."
Experimental recovery branch,Canceled or irrelevant fact,Canceled,Event ID: E019; Owner: Aditya; Status: Canceled; Requirement Change: The experiment is closed after its useful changes move into the main recovery work.; Note: The temporary branch is abandoned and must not be treated as an active delivery path.,Do not use as current state.,Ignore,E019,"Historical event marked outdated, canceled, or irrelevant."
Terminal draft recovery,Outdated fact,Active,Event ID: E021; Owner: Aditya; Status: Active; Requirement Change: Replace the visible recovery banner with silent automatic restore.; Note: The recovery UX changes to silent restore with no browse or discard controls.,Do not use as current state.,Ignore,E021,"Historical event marked outdated, canceled, or irrelevant."
Terminal draft recovery,Outdated fact,Active,Event ID: E022; Owner: Aditya; Status: Active; Requirement Change: Challenge-scoped keys eliminate cross-challenge draft leakage.; Note: The storage-key bug is fixed and recovery work resumes.,Do not use as current state.,Ignore,E022,"Historical event marked outdated, canceled, or irrelevant."
Local learner progress,Outdated fact,Active,"Event ID: E023; Owner: Advay; Status: Active; Note: Implementation begins for browser-local course, quiz, and challenge progress.",Do not use as current state.,Ignore,E023,"Historical event marked outdated, canceled, or irrelevant."
Shared quiz engine,Outdated fact,Active,Event ID: E024; Owner: Dhruv; Status: Active; Note: The shared scoring and explanation engine moves into active development.,Do not use as current state.,Ignore,E024,"Historical event marked outdated, canceled, or irrelevant."
Cloud terminal deployment,Canceled or irrelevant fact,Planned,Event ID: E025; Owner: Tavish; Status: Planned; Requirement Change: Use an OCI free-tier VM as the primary production deployment.; Note: OCI is selected as the first deployment path.,Do not use as current state.,Ignore,E025,"Historical event marked outdated, canceled, or irrelevant."
