Question ID,Approach,Automated Label,Manual Label,Manual Error Type,Answer,Expected Answer,Supporting Event IDs,Conflicting Event IDs,Review Reason,Review Status,Independent Sign-off
Q16,Large context,Incorrect,Incorrect,Multi-owner history,None had more than one explicit owner reassignment.,Privacy-safe learning analytics and legacy accessibility cleanup changed owners multiple times.,E055; E090,E012; E072,The answer contradicts the event history by saying no task changed owner more than once.,Adjudicated from saved answer,Pending independent human confirmation
Q17,Large context,Incomplete,Partially correct,Missed blocker transition,"Legacy accessibility cleanup: broken course paths were resolved, then incomplete keyboard-only coverage became the related blocker.","Browser dependency installation was resolved, then keyboard-only smoke coverage became the later active blocker.",E017; E086,E008; E084,"It gives a real resolved-paths to keyboard-only transition, but substitutes that chain for the benchmark's browser-dependency transition.",Adjudicated from saved answer,Pending independent human confirmation
Q21,Large context,Incomplete,Correct,Keyword-rubric false negative,The Live Help offline fallback requirement.,The Live Help offline fallback was removed from the MVP but retained in the future backlog.,E045,E005,It names the Live Help offline fallback. The removed-from-MVP and future-backlog relation is already stated in the question and the answer makes no contrary claim.,Adjudicated from saved answer,Pending independent human confirmation
Q25,Large context,Incomplete,Partially correct,Canceled/obsolete scope,"The experimental recovery branch, standalone terminal demo mode, and Live Help offline fallback.","Standalone terminal demo mode, Live Help offline fallback, and the guided paths desktop mockup should not be included.",E035; E045; E059,E007; E005; E053,"It names two canceled features, omits the guided paths desktop mockup, and adds an unlisted experimental recovery branch.",Adjudicated from saved answer,Pending independent human confirmation
Q27,Large context,Incomplete,Correct,Keyword-rubric false negative,"July 13, 2026.","July 13 is outdated; the current MVP release target is July 17, 2026.",E085,E009,"The question asks which older deadline is wrong; July 13, 2026 is the complete answer.",Adjudicated from saved answer,Pending independent human confirmation
Q28,Large context,Incomplete,Correct,Keyword-rubric false negative,Aryan Raj owns the completed feature: a mobile-first path section with path cards while every existing course link remains available.,Aryan Raj owns the completed guided paths; the mobile-first layout preserves all manual course links.,E061; E076,E052; E070,"The answer semantically covers Aryan's ownership, the mobile-first paths, and preserved course links.",Adjudicated from saved answer,Pending independent human confirmation
Q30,Large context,Incomplete,Correct,Keyword-rubric false negative,"Keyboard-only smoke coverage is incomplete and is the only active blocker, delaying the MVP to July 17 and the bounded Courses 1–3 cleanup to July 19.","The MVP release is delayed to July 17, legacy accessibility cleanup is delayed to July 19, and keyboard-only smoke coverage is incomplete.",E085; E086; E090,E009; E083; E089,"It states incomplete keyboard-only coverage, the July 17 MVP target, and the July 19 bounded cleanup target.",Adjudicated from saved answer,Pending independent human confirmation
Q12,Traditional TF-IDF RAG,Incomplete,Partially correct,Missed QA rule detail,"It runs on changed HTML only, uses a small explicit allowlist, and checks links, alt text, titles, and footer regressions with regression coverage.","It checks changed files, ignores HTML comments, and uses a small explicit allowlist.",E078,E062; E064,"It correctly describes changed-file checks and the allowlist, but omits the rule to ignore HTML comments.",Adjudicated from saved answer,Pending independent human confirmation
Q14,Traditional TF-IDF RAG,Incomplete,Correct,Keyword-rubric false negative,No. Root deployment routing was fixed and covered by smoke tests.,No. The routing issue was resolved and completed with smoke-test coverage.,E038,E033,It correctly says root deployment routing was fixed and covered by smoke tests.,Adjudicated from saved answer,Pending independent human confirmation
Q16,Traditional TF-IDF RAG,Incorrect,Incorrect,Multi-owner history,MVP release: Team → Shaurya → Team.,Privacy-safe learning analytics and legacy accessibility cleanup changed owners multiple times.,E055; E090,E012; E072,It names an MVP owner sequence instead of the two tasks with repeated owner changes.,Adjudicated from saved answer,Pending independent human confirmation
