Question ID,Question,Correct Answer,Selective-Memory Answer,Selective-Memory Answer Correct,Correct/Incorrect,Error Type,Notes
Q01,Who currently owns the browser smoke tests?,Shaurya,Shaurya.,Yes,Correct,Correct,Matched the answer key.
Q02,Which project tasks are delayed at the end of Day 30?,The MVP release and legacy accessibility cleanup.,Legacy accessibility cleanup and the MVP release.,Yes,Correct,Correct,Matched the answer key.
Q03,What is the only active blocker at the end of Day 30?,Keyboard-only smoke coverage is incomplete.,Incomplete keyboard-only smoke coverage for core catalog and terminal controls.,Yes,Correct,Correct,Matched the answer key.
Q04,What is the current MVP release target?,July 17 2026.,"July 17, 2026.",Yes,Correct,Correct,Matched the answer key.
Q05,Which planned feature was removed because an existing mock mode already covered the need?,Standalone terminal demo mode.,Standalone terminal demo mode.,Yes,Correct,Correct,Matched the answer key.
Q06,Is the Live Help offline fallback still part of the current MVP?,No. It was canceled and removed from the current MVP.,No. It was removed from the MVP; related fallback work is future backlog only.,Yes,Correct,Correct,Matched the answer key.
Q07,Which browser testing framework is the current technical decision?,Playwright.,Playwright.,Yes,Correct,Correct,Matched the answer key.
Q08,Which cloud platform is the current primary terminal deployment target?,Azure VM.,"Azure, using an Azure VM.",Yes,Correct,Correct,Matched the answer key.
Q09,What is the current terminal draft recovery requirement?,"Show a visible recovered state and a confirmed discard control, using challenge-scoped storage.","Show recovered state and a confirmed discard control, using challenge-scoped storage.",Yes,Correct,Correct,Matched the answer key.
Q10,Who owns guided learning paths and what is their current status?,"Aryan Raj owns the task, and it is completed.",Aryan Raj; completed.,Yes,Correct,Correct,Matched the answer key.
Q11,What is the current status of the static HTML QA gate?,Completed.,Completed.,Yes,Correct,Correct,Matched the answer key.
Q12,What rules define the current static HTML QA gate?,"It checks changed files, ignores HTML comments, and uses a small explicit allowlist.","Run checks only on changed HTML; check links, alt text, titles, and footer regressions; ignore HTML comments and use a small explicit allowlist.",Yes,Correct,Correct,Matched the answer key.
Q13,Who owns local learner progress and is it complete?,"Aarohi owns it, and it is completed.","Aarohi; yes, completed.",Yes,Correct,Correct,Matched the answer key.
