Question ID,Question,Correct Answer,Retrieved Updates,RAG Answer,Supporting Current Event IDs,Supporting Event Retrieved,Supporting Event Coverage,RAG Answer Correct,Correct/Incorrect,Error Type,Notes
Q01,Who currently owns the browser smoke tests?,Shaurya,"E088 (0.374): Event ID: E088 | Day: Day 30 | Date: 7/13/2026 | Update Type: Task Created | Task: Browser smoke test fixtures | Owner: Naysa | Status: Active | Requirement Change: Add fixture-only browser coverage without changing the end-to-end smoke suite. | Memory Action: Remember | Validity: Current | Note: A similarly named fixture task is separate from the completed browser smoke tests.
E008 (0.351): Event ID: E008 | Day: Day 3 | Date: 6/16/2026 | Update Type: Blocker | Task: Browser smoke tests | Owner: Ishaan | Status: Blocked | Blocker: CI cannot install the browser dependency reliably. | Memory Action: Update | Validity: Outdated | Replaces Event: E002 | Note: The smoke suite is blocked by a browser installation hang in CI.
E002 (0.306): Event ID: E002 | Day: Day 1 | Date: 6/14/2026 | Update Type: Task Created | Task: Browser smoke tests | Owner: Ishaan | Status: Planned | Requirement Change: Cover catalog, course, mock terminal, and progress flows without a live backend. | Memory Action: Remember | Validity: Outdated | Note: The browser smoke suite is created as a frontend-only task.
E020 (0.298): Event ID: E020 | Day: Day 7 | Date: 6/20/2026 | Update Type: Pull Request | Task: Browser smoke tests | Owner: Shaurya | Status: Completed | Memory Action: Update | Validity: Current | Replaces Event: E017 | Note: The smoke suite merges after local and CI verification.
E013 (0.289): Event ID: E013 | Day: Day 5 | Date: 6/18/2026 | Update Type: Owner Reassignment | Task: Browser smoke tests | Owner: Shaurya | Status: Blocked | Blocker: Browser dependency remains unavailable in CI. | Memory Action: Update | Validity: Outdated | Replaces Event: E008 | Note: Smoke-test ownership moves from Ishaan to Shaurya while the installation blocker remains.",Shaurya; Naysa owns only the separate fixture-only task.,E020,Yes,All,Yes,Correct,Correct,Matched the answer key.
Q02,Which project tasks are delayed at the end of Day 30?,The MVP release and legacy accessibility cleanup.,"E086 (0.254): Event ID: E086 | Day: Day 30 | Date: 7/13/2026 | Update Type: Status Update | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is the only active blocker. | Requirement Change: Courses 1-3 remain the cleanup boundary; no broad allowlist is permitted. | Memory Action: Update | Validity: Current | Replaces Event: E084 | Note: Accessibility cleanup is delayed with one explicit active blocker at the end of Day 30.
E060 (0.181): Event ID: E060 | Day: Day 20 | Date: 7/3/2026 | Update Type: Blocker | Task: Guided learning paths | Owner: Ashwin | Status: Delayed | Blocker: A mobile layout and preserved manual navigation are still undefined. | Memory Action: Update | Validity: Outdated | Replaces Event: E052 | Note: Guided paths are delayed until the responsive interaction is clarified.
E089 (0.176): Event ID: E089 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is incomplete. | Requirement Change: Move the bounded cleanup target from July 15 to July 18, 2026. | Memory Action: Update | Validity: Outdated | Note: The first revised accessibility-cleanup target is superseded by a later Day 30 target.
E085 (0.133): Event ID: E085 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Delayed | Blocker: Keyboard coverage remains incomplete. | Requirement Change: Move the release target from July 13 to July 17, 2026. | Memory Action: Update | Validity: Current | Replaces Event: E009 | Note: The release slips four days rather than waiving the accessibility gate.
E090 (0.113): Event ID: E090 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is incomplete. | Requirement Change: Move the bounded cleanup target from July 18 to July 19, 2026. | Memory Action: Update | Validity: Current | Replaces Event: E089 | Note: The current bounded cleanup target is July 19 while keyboard-only coverage remains incomplete.",Legacy accessibility cleanup and the MVP release.,E085; E090,Yes,All,Yes,Correct,Correct,Matched the answer key.
Q03,What is the only active blocker at the end of Day 30?,Keyboard-only smoke coverage is incomplete.,"E086 (0.426): Event ID: E086 | Day: Day 30 | Date: 7/13/2026 | Update Type: Status Update | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is the only active blocker. | Requirement Change: Courses 1-3 remain the cleanup boundary; no broad allowlist is permitted. | Memory Action: Update | Validity: Current | Replaces Event: E084 | Note: Accessibility cleanup is delayed with one explicit active blocker at the end of Day 30.
E089 (0.239): Event ID: E089 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is incomplete. | Requirement Change: Move the bounded cleanup target from July 15 to July 18, 2026. | Memory Action: Update | Validity: Outdated | Note: The first revised accessibility-cleanup target is superseded by a later Day 30 target.
E090 (0.196): Event ID: E090 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is incomplete. | Requirement Change: Move the bounded cleanup target from July 18 to July 19, 2026. | Memory Action: Update | Validity: Current | Replaces Event: E089 | Note: The current bounded cleanup target is July 19 while keyboard-only coverage remains incomplete.
E088 (0.179): Event ID: E088 | Day: Day 30 | Date: 7/13/2026 | Update Type: Task Created | Task: Browser smoke test fixtures | Owner: Naysa | Status: Active | Requirement Change: Add fixture-only browser coverage without changing the end-to-end smoke suite. | Memory Action: Remember | Validity: Current | Note: A similarly named fixture task is separate from the completed browser smoke tests.
E009 (0.146): Event ID: E009 | Day: Day 3 | Date: 6/16/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Active | Requirement Change: Initial release target is July 13, 2026. | Memory Action: Remember | Validity: Outdated | Note: The first release target is set to the end of Day 30.",Incomplete keyboard-only smoke coverage.,E086,Yes,All,Yes,Correct,Correct,Matched the answer key.
Q04,What is the current MVP release target?,July 17 2026.,"E009 (0.615): Event ID: E009 | Day: Day 3 | Date: 6/16/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Active | Requirement Change: Initial release target is July 13, 2026. | Memory Action: Remember | Validity: Outdated | Note: The first release target is set to the end of Day 30.
E085 (0.381): Event ID: E085 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Delayed | Blocker: Keyboard coverage remains incomplete. | Requirement Change: Move the release target from July 13 to July 17, 2026. | Memory Action: Update | Validity: Current | Replaces Event: E009 | Note: The release slips four days rather than waiving the accessibility gate.
E081 (0.304): Event ID: E081 | Day: Day 28 | Date: 7/11/2026 | Update Type: Requirement Change | Task: MVP release | Owner: Shaurya | Status: Active | Requirement Change: Release requires keyboard-only coverage for core catalog and terminal controls. | Memory Action: Remember | Validity: Current | Note: Keyboard coverage becomes a release requirement rather than a later enhancement.
E089 (0.277): Event ID: E089 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is incomplete. | Requirement Change: Move the bounded cleanup target from July 15 to July 18, 2026. | Memory Action: Update | Validity: Outdated | Note: The first revised accessibility-cleanup target is superseded by a later Day 30 target.
E090 (0.167): Event ID: E090 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is incomplete. | Requirement Change: Move the bounded cleanup target from July 18 to July 19, 2026. | Memory Action: Update | Validity: Current | Replaces Event: E089 | Note: The current bounded cleanup target is July 19 while keyboard-only coverage remains incomplete.","July 17, 2026.",E085,Yes,All,Yes,Correct,Correct,Matched the answer key.
Q05,Which planned feature was removed because an existing mock mode already covered the need?,Standalone terminal demo mode.,"E035 (0.465): Event ID: E035 | Day: Day 12 | Date: 6/25/2026 | Update Type: Feature Removed | Task: Standalone terminal demo mode | Owner: Rohan | Status: Canceled | Requirement Change: Remove the standalone launcher because existing mock mode covers the need. | Memory Action: Forget | Validity: Irrelevant | Replaces Event: E007 | Note: The duplicate demo feature is removed from the MVP.
E007 (0.212): Event ID: E007 | Day: Day 3 | Date: 6/16/2026 | Update Type: Task Created | Task: Standalone terminal demo mode | Owner: Rohan | Status: Planned | Requirement Change: Add a separate demo launcher beside the existing mock terminal path. | Memory Action: Remember | Validity: Irrelevant | Note: A standalone demo launcher is proposed as a separate MVP feature.
E045 (0.125): Event ID: E045 | Day: Day 15 | Date: 6/28/2026 | Update Type: Feature Removed | Task: Live Help offline fallback | Owner: Sukriti | Status: Canceled | Blocker: The iframe limitation remains. | Requirement Change: Remove the Live Help fallback from this MVP and keep it in the future backlog. | Memory Action: Forget | Validity: Irrelevant | Replaces Event: E029 | Note: The blocked fallback is removed from the current release scope.
E002 (0.101): Event ID: E002 | Day: Day 1 | Date: 6/14/2026 | Update Type: Task Created | Task: Browser smoke tests | Owner: Ishaan | Status: Planned | Requirement Change: Cover catalog, course, mock terminal, and progress flows without a live backend. | Memory Action: Remember | Validity: Outdated | Note: The browser smoke suite is created as a frontend-only task.
E019 (0.088): Event ID: E019 | Day: Day 7 | Date: 6/20/2026 | Update Type: Feature Removed | Task: Experimental recovery branch | Owner: Aditya | Status: Canceled | Requirement Change: The experiment is closed after its useful changes move into the main recovery work. | Memory Action: Forget | Validity: Irrelevant | Replaces Event: E016 | Note: The temporary branch is abandoned and must not be treated as an active delivery path.",Standalone terminal demo mode.,E035,Yes,All,Yes,Correct,Correct,Matched the answer key.
Q06,Is the Live Help offline fallback still part of the current MVP?,No. It was canceled and removed from the current MVP.,"E045 (0.507): Event ID: E045 | Day: Day 15 | Date: 6/28/2026 | Update Type: Feature Removed | Task: Live Help offline fallback | Owner: Sukriti | Status: Canceled | Blocker: The iframe limitation remains. | Requirement Change: Remove the Live Help fallback from this MVP and keep it in the future backlog. | Memory Action: Forget | Validity: Irrelevant | Replaces Event: E029 | Note: The blocked fallback is removed from the current release scope.
E005 (0.473): Event ID: E005 | Day: Day 2 | Date: 6/15/2026 | Update Type: Task Created | Task: Live Help offline fallback | Owner: Sukriti | Status: Planned | Requirement Change: Add privacy notice, suggested prompts, and useful content when chat fails. | Memory Action: Remember | Validity: Outdated | Note: A safer fallback experience for embedded Live Help enters the MVP plan.
E087 (0.471): Event ID: E087 | Day: Day 30 | Date: 7/13/2026 | Update Type: Feature Revival | Task: Help Center prompt fallback | Owner: Sukriti | Status: Future Backlog | Requirement Change: Revive a limited part of the canceled Live Help fallback under a new name for a future release. | Memory Action: Update | Validity: Current | Replaces Event: E045 | Note: The canceled Live Help fallback is partly revived under a new name but remains outside the current MVP.
E029 (0.328): Event ID: E029 | Day: Day 10 | Date: 6/23/2026 | Update Type: Blocker | Task: Live Help offline fallback | Owner: Sukriti | Status: Blocked | Blocker: The embedded chat does not expose a reliable failure signal. | Memory Action: Update | Validity: Outdated | Replaces Event: E005 | Note: The fallback cannot reliably detect iframe failure and is blocked.
E041 (0.125): Event ID: E041 | Day: Day 14 | Date: 6/27/2026 | Update Type: Task Created | Task: Privacy-safe learning analytics | Owner: Ishaan | Status: Planned | Requirement Change: Add quiz, progress, and Live Help events using allowlisted identifiers only. | Memory Action: Remember | Validity: Outdated | Note: A privacy-safe funnel analytics expansion enters the plan.",No. It was removed from the MVP; the renamed Help Center prompt fallback is future backlog.,E045,Yes,All,Yes,Correct,Correct,Matched the answer key.
Q07,Which browser testing framework is the current technical decision?,Playwright.,"E003 (0.355): Event ID: E003 | Day: Day 1 | Date: 6/14/2026 | Update Type: Decision | Task: Browser test framework | Owner: Ishaan | Status: Planned | Requirement Change: Use Cypress for the first smoke suite. | Memory Action: Remember | Validity: Irrelevant | Note: The team initially selects Cypress, but this technical choice is later abandoned.
E014 (0.203): Event ID: E014 | Day: Day 5 | Date: 6/18/2026 | Update Type: Decision | Task: Browser test framework | Owner: Shaurya | Status: Active | Requirement Change: Replace Cypress with the already-installed Playwright stack. | Memory Action: Update | Validity: Current | Replaces Event: E003 | Note: Playwright replaces Cypress to reuse the repository's working test path.
E037 (0.142): Event ID: E037 | Day: Day 13 | Date: 6/26/2026 | Update Type: Temporary Information | Task: Progress test fixtures | Owner: Ethan | Status: Active | Memory Action: Forget | Validity: Irrelevant | Note: Synthetic progress records are loaded for browser testing only.
E008 (0.141): Event ID: E008 | Day: Day 3 | Date: 6/16/2026 | Update Type: Blocker | Task: Browser smoke tests | Owner: Ishaan | Status: Blocked | Blocker: CI cannot install the browser dependency reliably. | Memory Action: Update | Validity: Outdated | Replaces Event: E002 | Note: The smoke suite is blocked by a browser installation hang in CI.
E017 (0.135): Event ID: E017 | Day: Day 6 | Date: 6/19/2026 | Update Type: Blocker Resolved | Task: Browser smoke tests | Owner: Shaurya | Status: Active | Requirement Change: Pinning the existing browser package removes the install hang. | Memory Action: Update | Validity: Outdated | Replaces Event: E013 | Note: The CI installation blocker is resolved without adding a second browser stack.","Playwright, replacing Cypress.",E014,Yes,All,Yes,Correct,Correct,Matched the answer key.
Q08,Which cloud platform is the current primary terminal deployment target?,Azure VM.,"E034 (0.382): Event ID: E034 | Day: Day 12 | Date: 6/25/2026 | Update Type: Decision | Task: Cloud terminal deployment | Owner: Tavish | Status: Active | Requirement Change: Replace OCI as primary with an Azure VM; retain only generic operational lessons. | Memory Action: Update | Validity: Current | Replaces Event: E025 | Note: Azure becomes the primary deployment target and the OCI-first plan is abandoned.
E025 (0.352): Event ID: E025 | Day: Day 9 | Date: 6/22/2026 | Update Type: Decision | Task: Cloud terminal deployment | Owner: Tavish | Status: Planned | Requirement Change: Use an OCI free-tier VM as the primary production deployment. | Memory Action: Remember | Validity: Irrelevant | Note: OCI is selected as the first deployment path.
E040 (0.322): Event ID: E040 | Day: Day 14 | Date: 6/27/2026 | Update Type: Blocker Resolved | Task: Cloud terminal deployment | Owner: Tavish | Status: Completed | Requirement Change: The corrected environment and health check pass. | Memory Action: Update | Validity: Current | Replaces Event: E036 | Note: The primary terminal deployment is verified and the health-check blocker is closed.
E036 (0.264): Event ID: E036 | Day: Day 12 | Date: 6/25/2026 | Update Type: Deployment | Task: Cloud terminal deployment | Owner: Tavish | Status: Blocked | Blocker: The health check fails after provisioning. | Memory Action: Remember | Validity: Outdated | Note: The first Azure deployment cannot pass its health check.
E089 (0.165): Event ID: E089 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is incomplete. | Requirement Change: Move the bounded cleanup target from July 15 to July 18, 2026. | Memory Action: Update | Validity: Outdated | Note: The first revised accessibility-cleanup target is superseded by a later Day 30 target.",An Azure VM.,E034,Yes,All,Yes,Correct,Correct,Matched the answer key.
Q09,What is the current terminal draft recovery requirement?,"Show a visible recovered state and a confirmed discard control, using challenge-scoped storage.","E050 (0.511): Event ID: E050 | Day: Day 17 | Date: 6/30/2026 | Update Type: Status Update | Task: Terminal draft recovery | Owner: Aditya | Status: Completed | Memory Action: Update | Validity: Current | Replaces Event: E022 | Note: Draft persistence, recovery controls, and regression tests are complete.
E001 (0.478): Event ID: E001 | Day: Day 1 | Date: 6/14/2026 | Update Type: Task Created | Task: Terminal draft recovery | Owner: Aditya | Status: Planned | Requirement Change: Show a visible recovery prompt and discard control after reload. | Memory Action: Remember | Validity: Outdated | Note: Draft recovery is planned with visible controls and challenge-scoped local storage.
E022 (0.417): Event ID: E022 | Day: Day 8 | Date: 6/21/2026 | Update Type: Blocker Resolved | Task: Terminal draft recovery | Owner: Aditya | Status: Active | Requirement Change: Challenge-scoped keys eliminate cross-challenge draft leakage. | Memory Action: Update | Validity: Outdated | Replaces Event: E015 | Note: The storage-key bug is fixed and recovery work resumes.
E021 (0.408): Event ID: E021 | Day: Day 7 | Date: 6/20/2026 | Update Type: Requirement Change | Task: Terminal draft recovery | Owner: Aditya | Status: Active | Requirement Change: Replace the visible recovery banner with silent automatic restore. | Memory Action: Update | Validity: Outdated | Replaces Event: E004 | Note: The recovery UX changes to silent restore with no browse or discard controls.
E047 (0.342): Event ID: E047 | Day: Day 16 | Date: 6/29/2026 | Update Type: Requirement Change | Task: Terminal draft recovery | Owner: Aditya | Status: Active | Requirement Change: Restore a visible recovered state and confirmed discard control after learner feedback. | Memory Action: Update | Validity: Current | Replaces Event: E021 | Note: Silent-only recovery is replaced by explicit controls with safer challenge scoping.",Challenge-scoped draft persistence with a visible recovered state and confirmed discard control; the work is complete.,E047; E050,Yes,All,Yes,Correct,Correct,Matched the answer key.
Q10,Who owns guided learning paths and what is their current status?,"Aryan Raj owns the task, and it is completed.","E076 (0.319): Event ID: E076 | Day: Day 26 | Date: 7/9/2026 | Update Type: Pull Request | Task: Guided learning paths | Owner: Aryan Raj | Status: Completed | Memory Action: Update | Validity: Current | Replaces Event: E074 | Note: Guided learning paths merge with manual navigation preserved.
E052 (0.275): Event ID: E052 | Day: Day 18 | Date: 7/1/2026 | Update Type: Task Created | Task: Guided learning paths | Owner: Ashwin | Status: Planned | Requirement Change: Group existing courses into beginner-friendly paths without hiding the full catalog. | Memory Action: Remember | Validity: Outdated | Note: Guided paths are added to the release plan.
E060 (0.233): Event ID: E060 | Day: Day 20 | Date: 7/3/2026 | Update Type: Blocker | Task: Guided learning paths | Owner: Ashwin | Status: Delayed | Blocker: A mobile layout and preserved manual navigation are still undefined. | Memory Action: Update | Validity: Outdated | Replaces Event: E052 | Note: Guided paths are delayed until the responsive interaction is clarified.
E074 (0.210): Event ID: E074 | Day: Day 25 | Date: 7/8/2026 | Update Type: Code Review | Task: Guided learning paths | Owner: Aryan Raj | Status: Under Review | Memory Action: Update | Validity: Outdated | Replaces Event: E073 | Note: The repaired guided-path implementation receives final review.
E070 (0.206): Event ID: E070 | Day: Day 24 | Date: 7/7/2026 | Update Type: Bug | Task: Guided learning paths | Owner: Aryan Raj | Status: Blocked | Blocker: Existing course links are no longer reachable from the catalog. | Memory Action: Update | Validity: Outdated | Replaces Event: E068 | Note: The guided-path patch is blocked by a navigation regression.",Aryan Raj; completed.,E076,Yes,All,Yes,Correct,Correct,Matched the answer key.
