Question ID,Question,Large Context Status,Large Context Error Type,RAG Status,RAG Error Type,Supporting Event Retrieved,Supporting Event Coverage,RAG Answer Correct,Selective Memory Status,Selective Memory Error Type,Winner,Notes
Q01,Who currently owns the browser smoke tests?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q02,Which project tasks are delayed at the end of Day 30?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q03,What is the only active blocker at the end of Day 30?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q04,What is the current MVP release target?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q05,Which planned feature was removed because an existing mock mode already covered the need?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q06,Is the Live Help offline fallback still part of the current MVP?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q07,Which browser testing framework is the current technical decision?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q08,Which cloud platform is the current primary terminal deployment target?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q09,What is the current terminal draft recovery requirement?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q10,Who owns guided learning paths and what is their current status?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q11,What is the current status of the static HTML QA gate?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q12,What rules define the current static HTML QA gate?,Correct,Correct,Incomplete,Incomplete answer,Yes,All,No,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q13,Who owns local learner progress and is it complete?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q14,Is root deployment routing still blocking the project?,Correct,Correct,Incomplete,Incomplete answer,Yes,All,No,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q15,Which README approach should be ignored as outdated?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q16,Which tasks changed owners more than once by Day 30?,Incorrect,Incorrect,Incorrect,Incorrect,No,None,No,Correct,Correct,Selective memory,All conditions used the same questions and answer rubric.
Q17,"Which blocker was active earlier, resolved, and followed by a later related active blocker?",Incomplete,Incomplete answer,Incomplete,Incomplete answer,Yes,All,No,Incomplete,Incomplete answer,Tie,All conditions used the same questions and answer rubric.
Q18,"Which canceled feature was partly revived under a new name, and is it in the current MVP?",Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q19,How should the two similarly named browser tasks be distinguished?,Correct,Correct,Correct,Correct,Yes,Partial,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q20,What are the successive deadline changes for legacy accessibility cleanup and its current target?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q21,Which requirement was removed from the MVP but retained in the future backlog?,Incomplete,Incomplete answer,Incomplete,Incomplete answer,Yes,All,No,Incomplete,Incomplete answer,Tie,All conditions used the same questions and answer rubric.
Q22,What old browser-owner fact must be ignored in the current answer?,Correct,Correct,Correct,Correct,No,None,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q23,Which events changed keyboard-only coverage from a release requirement into the current blocker?,Correct,Correct,Correct,Correct,Yes,All,Yes,Incorrect,Incorrect,Tie,All conditions used the same questions and answer rubric.
Q24,Which terminal draft-recovery facts should be used and which old fact should be ignored?,Correct,Correct,Incomplete,Incomplete answer,Yes,Partial,No,Incomplete,Incomplete answer,Large context,All conditions used the same questions and answer rubric.
Q25,Which canceled features should not be included in the current MVP?,Incomplete,Incomplete answer,Incomplete,Incomplete answer,Yes,Partial,No,Correct,Correct,Selective memory,All conditions used the same questions and answer rubric.
Q26,What current browser-testing decision replaces the earlier technical decision?,Correct,Correct,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q27,Which older release deadline would be wrong if the AI relied only on early notes?,Incomplete,Incomplete answer,Correct,Correct,Yes,All,Yes,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q28,What current facts define guided learning paths after the ownership and navigation changes?,Incomplete,Incomplete answer,Incomplete,Incomplete answer,Yes,Partial,No,Correct,Correct,Selective memory,All conditions used the same questions and answer rubric.
Q29,Which temporary or expired project information should be ignored?,Correct,Correct,Incomplete,Incomplete answer,Yes,All,No,Correct,Correct,Tie,All conditions used the same questions and answer rubric.
Q30,What facts define current release risk at the end of Day 30?,Incomplete,Incomplete answer,Correct,Correct,Yes,Partial,Yes,Incorrect,Outdated information error,RAG,All conditions used the same questions and answer rubric.
