Question ID,Question,Correct Answer,AI Answer,Correct/Incorrect,Error Type,Notes
Q01,Who currently owns the browser smoke tests?,Shaurya,Shaurya.,Correct,Correct,Matched the answer key.
Q02,Which project tasks are delayed at the end of Day 30?,The MVP release and legacy accessibility cleanup.,MVP release and Legacy accessibility cleanup.,Correct,Correct,Matched the answer key.
Q03,What is the only active blocker at the end of Day 30?,Keyboard-only smoke coverage is incomplete.,Incomplete keyboard-only smoke coverage for core catalog and terminal controls.,Correct,Correct,Matched the answer key.
Q04,What is the current MVP release target?,July 17 2026.,"July 17, 2026.",Correct,Correct,Matched the answer key.
Q05,Which planned feature was removed because an existing mock mode already covered the need?,Standalone terminal demo mode.,Standalone terminal demo mode.,Correct,Correct,Matched the answer key.
Q06,Is the Live Help offline fallback still part of the current MVP?,No. It was canceled and removed from the current MVP.,No. It was removed from the current MVP and moved to the future backlog.,Correct,Correct,Matched the answer key.
Q07,Which browser testing framework is the current technical decision?,Playwright.,Playwright.,Correct,Correct,Matched the answer key.
Q08,Which cloud platform is the current primary terminal deployment target?,Azure VM.,Azure VM.,Correct,Correct,Matched the answer key.
Q09,What is the current terminal draft recovery requirement?,"Show a visible recovered state and a confirmed discard control, using challenge-scoped storage.",Challenge-scoped draft persistence with a visible recovered state and confirmed discard control.,Correct,Correct,Matched the answer key.
Q10,Who owns guided learning paths and what is their current status?,"Aryan Raj owns the task, and it is completed.",Aryan Raj; completed.,Correct,Correct,Matched the answer key.
Q11,What is the current status of the static HTML QA gate?,Completed.,Completed and merged.,Correct,Correct,Matched the answer key.
Q12,What rules define the current static HTML QA gate?,"It checks changed files, ignores HTML comments, and uses a small explicit allowlist.","It checks changed HTML only, strips comments first, checks links, image alt text, titles, and footers, and uses a small explicit allowlist.",Correct,Correct,Matched the answer key.
Q13,Who owns local learner progress and is it complete?,"Aarohi owns it, and it is completed.","Aarohi; yes, it is complete.",Correct,Correct,Matched the answer key.
Q14,Is root deployment routing still blocking the project?,No. The routing issue was resolved and completed with smoke-test coverage.,"No. Root and subpath routing now use one safe resolver, and the fix is complete.",Correct,Correct,Matched the answer key.
Q15,Which README approach should be ignored as outdated?,"The long, badge-heavy, presentation-focused README draft should be ignored; the current README is a concise essentials-only walkthrough.","The long, badge-heavy, presentation-focused README with a detailed contributor guide should be ignored.",Correct,Correct,Matched the answer key.
