Question ID,Question,Correct Answer,Required Keywords,Outdated Keywords,Category,Supporting Current Event,Conflicting Old Event
Q01,Who currently owns the browser smoke tests?,Shaurya,Shaurya,Ishaan,Current owner,E020,E002
Q02,Which project tasks are delayed at the end of Day 30?,"The MVP release and legacy accessibility cleanup.","MVP release;legacy accessibility cleanup",guided learning paths,Current task status,"E085; E090",E060
Q03,What is the only active blocker at the end of Day 30?,Keyboard-only smoke coverage is incomplete.,"keyboard-only|keyboard coverage","browser installation|health check|navigation regression",Active blocker,E086,"E008; E036; E070"
Q04,What is the current MVP release target?,July 17 2026.,"July 17|17 2026",,Deadline update,E085,E009
Q05,Which planned feature was removed because an existing mock mode already covered the need?,Standalone terminal demo mode.,standalone terminal demo,live help,Removed feature,E035,E007
Q06,Is the Live Help offline fallback still part of the current MVP?,No. It was canceled and removed from the current MVP.,"no|not;canceled|removed|outside|future backlog",planned,Removed feature,E045,E005
Q07,Which browser testing framework is the current technical decision?,Playwright.,Playwright,,Contradiction resolution,E014,E003
Q08,Which cloud platform is the current primary terminal deployment target?,Azure VM.,Azure,OCI,Contradiction resolution,E034,E025
Q09,What is the current terminal draft recovery requirement?,"Show a visible recovered state and a confirmed discard control, using challenge-scoped storage.","visible recovered|recovered state;discard;challenge-scoped|challenge scoped","silent restore|silent automatic",Current requirement,"E047; E050",E021
Q10,Who owns guided learning paths and what is their current status?,"Aryan Raj owns the task, and it is completed.","Aryan Raj;completed","Ashwin|delayed|blocked",Current owner,E076,"E052; E060"
Q11,What is the current status of the static HTML QA gate?,Completed.,completed,"blocked|under review",Current task status,E078,"E062; E069"
Q12,What rules define the current static HTML QA gate?,"It checks changed files, ignores HTML comments, and uses a small explicit allowlist.","changed-file|changed file|changed HTML;HTML comments|comments|commented;allowlist","whole-repository|whole repository",Current requirement,E078,"E062; E064"
Q13,Who owns local learner progress and is it complete?,"Aarohi owns it, and it is completed.","Aarohi;completed|complete",Advay,Current owner,E031,E012
Q14,Is root deployment routing still blocking the project?,"No. The routing issue was resolved and completed with smoke-test coverage.","no|not;resolved|completed|safe resolver","blocked|blocking",Resolved blocker,E038,E033
Q15,Which README approach should be ignored as outdated?,"The long, badge-heavy, presentation-focused README draft should be ignored; the current README is a concise essentials-only walkthrough.","badge-heavy|presentation-heavy","current badge-heavy",Outdated information,E067,E058
Q16,Which tasks changed owners more than once by Day 30?,"Privacy-safe learning analytics and legacy accessibility cleanup changed owners multiple times.","privacy-safe learning analytics|static HTML QA gate|legacy accessibility cleanup|terminal draft recovery","",Multi-event reasoning,"E055; E090","E012; E072"
Q17,"Which blocker was active earlier, resolved, and followed by a later related active blocker?","Browser dependency installation was resolved, then keyboard-only smoke coverage became the later active blocker.","browser dependency|browser installation;resolved;keyboard-only|keyboard coverage","",Multi-event reasoning,"E017; E086","E008; E084"
