Question ID,Approach,Question,Answer,Expected Answer,Automated Label,Manual Label,Published Correct,Manual Error Type,Supporting Event IDs,Conflicting Event IDs,Review Status,Review Reason,Independent Sign-off
Q01,Large context,Who currently owns the browser smoke tests?,Shaurya.,Shaurya,Correct,Correct,Yes,None,E020,E002,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q02,Large context,Which project tasks are delayed at the end of Day 30?,MVP release and legacy accessibility cleanup.,The MVP release and legacy accessibility cleanup.,Correct,Correct,Yes,None,E085; E090,E060,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q03,Large context,What is the only active blocker at the end of Day 30?,Incomplete keyboard-only smoke coverage.,Keyboard-only smoke coverage is incomplete.,Correct,Correct,Yes,None,E086,E008; E036; E070,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q04,Large context,What is the current MVP release target?,"July 17, 2026.",July 17 2026.,Correct,Correct,Yes,None,E085,E009,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q05,Large context,Which planned feature was removed because an existing mock mode already covered the need?,Standalone terminal demo mode.,Standalone terminal demo mode.,Correct,Correct,Yes,None,E035,E007,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q06,Large context,Is the Live Help offline fallback still part of the current MVP?,No. It was removed from the MVP; its limited revival is future backlog only.,No. It was canceled and removed from the current MVP.,Correct,Correct,Yes,None,E045,E005,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q07,Large context,Which browser testing framework is the current technical decision?,Playwright.,Playwright.,Correct,Correct,Yes,None,E014,E003,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q08,Large context,Which cloud platform is the current primary terminal deployment target?,An Azure VM.,Azure VM.,Correct,Correct,Yes,None,E034,E025,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q09,Large context,What is the current terminal draft recovery requirement?,"Visible recovered-state feedback and a confirmed discard control, using challenge-scoped draft persistence.","Show a visible recovered state and a confirmed discard control, using challenge-scoped storage.",Correct,Correct,Yes,None,E047; E050,E021,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q10,Large context,Who owns guided learning paths and what is their current status?,Aryan Raj; completed and merged with manual navigation preserved.,"Aryan Raj owns the task, and it is completed.",Correct,Correct,Yes,None,E076,E052; E060,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q11,Large context,What is the current status of the static HTML QA gate?,Completed; the corrected changed-file gate merged with regression coverage.,Completed.,Correct,Correct,Yes,None,E078,E062; E069,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q12,Large context,What rules define the current static HTML QA gate?,"Run only on changed HTML, strip comments first, check active links, alt text, titles, and footer regressions, and use a small explicit allowlist.","It checks changed files, ignores HTML comments, and uses a small explicit allowlist.",Correct,Correct,Yes,None,E078,E062; E064,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q13,Large context,Who owns local learner progress and is it complete?,"Aarohi; yes, it is complete.","Aarohi owns it, and it is completed.",Correct,Correct,Yes,None,E031,E012,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q14,Large context,Is root deployment routing still blocking the project?,No. It was resolved and covered by smoke tests.,No. The routing issue was resolved and completed with smoke-test coverage.,Correct,Correct,Yes,None,E038,E033,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q15,Large context,Which README approach should be ignored as outdated?,"The long, badge-heavy, presentation-focused README with a detailed contributor guide.","The long, badge-heavy, presentation-focused README draft should be ignored; the current README is a concise essentials-only walkthrough.",Correct,Correct,Yes,None,E067,E058,Automated-correct row,Automated label was Correct; no override was needed.,Not required for initial audit
Q16,Large context,Which tasks changed owners more than once by Day 30?,None had more than one explicit owner reassignment.,Privacy-safe learning analytics and legacy accessibility cleanup changed owners multiple times.,Incorrect,Incorrect,No,Multi-owner history,E055; E090,E012; E072,Adjudicated from saved answer,The answer contradicts the event history by saying no task changed owner more than once.,Pending independent human confirmation
