Question ID,Question,Correct Answer,Retrieved Updates,RAG Answer,Correct/Incorrect,Error Type,Notes
Q01,Who currently owns the browser smoke tests?,Shaurya,"E008 (0.369): Event ID: E008 | Day: Day 3 | Date: 6/16/2026 | Update Type: Blocker | Task: Browser smoke tests | Owner: Ishaan | Status: Blocked | Blocker: CI cannot install the browser dependency reliably. | Memory Action: Update | Validity: Outdated | Replaces Event: E002 | Note: The smoke suite is blocked by a browser installation hang in CI.
E002 (0.323): Event ID: E002 | Day: Day 1 | Date: 6/14/2026 | Update Type: Task Created | Task: Browser smoke tests | Owner: Ishaan | Status: Planned | Requirement Change: Cover catalog, course, mock terminal, and progress flows without a live backend. | Memory Action: Remember | Validity: Outdated | Note: The browser smoke suite is created as a frontend-only task.
E020 (0.318): Event ID: E020 | Day: Day 7 | Date: 6/20/2026 | Update Type: Pull Request | Task: Browser smoke tests | Owner: Shaurya | Status: Completed | Memory Action: Update | Validity: Current | Replaces Event: E017 | Note: The smoke suite merges after local and CI verification.
E013 (0.303): Event ID: E013 | Day: Day 5 | Date: 6/18/2026 | Update Type: Owner Reassignment | Task: Browser smoke tests | Owner: Shaurya | Status: Blocked | Blocker: Browser dependency remains unavailable in CI. | Memory Action: Update | Validity: Outdated | Replaces Event: E008 | Note: Smoke-test ownership moves from Ishaan to Shaurya while the installation blocker remains.
E017 (0.290): Event ID: E017 | Day: Day 6 | Date: 6/19/2026 | Update Type: Blocker Resolved | Task: Browser smoke tests | Owner: Shaurya | Status: Active | Requirement Change: Pinning the existing browser package removes the install hang. | Memory Action: Update | Validity: Outdated | Replaces Event: E013 | Note: The CI installation blocker is resolved without adding a second browser stack.",Shaurya.,Correct,Correct,Matched the answer key.
Q02,Which project tasks are delayed at the end of Day 30?,The MVP release and legacy accessibility cleanup.,"E086 (0.288): Event ID: E086 | Day: Day 30 | Date: 7/13/2026 | Update Type: Status Update | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is the only active blocker. | Requirement Change: Courses 1-3 remain the cleanup boundary; no broad allowlist is permitted. | Memory Action: Update | Validity: Current | Replaces Event: E084 | Note: Accessibility cleanup is delayed with one explicit active blocker at the end of Day 30.
E060 (0.207): Event ID: E060 | Day: Day 20 | Date: 7/3/2026 | Update Type: Blocker | Task: Guided learning paths | Owner: Ashwin | Status: Delayed | Blocker: A mobile layout and preserved manual navigation are still undefined. | Memory Action: Update | Validity: Outdated | Replaces Event: E052 | Note: Guided paths are delayed until the responsive interaction is clarified.
E085 (0.151): Event ID: E085 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Delayed | Blocker: Keyboard coverage remains incomplete. | Requirement Change: Move the release target from July 13 to July 17, 2026. | Memory Action: Update | Validity: Current | Replaces Event: E009 | Note: The release slips four days rather than waiving the accessibility gate.
E050 (0.098): Event ID: E050 | Day: Day 17 | Date: 6/30/2026 | Update Type: Status Update | Task: Terminal draft recovery | Owner: Aditya | Status: Completed | Memory Action: Update | Validity: Current | Replaces Event: E022 | Note: Draft persistence, recovery controls, and regression tests are complete.
E009 (0.083): Event ID: E009 | Day: Day 3 | Date: 6/16/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Active | Requirement Change: Initial release target is July 13, 2026. | Memory Action: Remember | Validity: Outdated | Note: The first release target is set to the end of Day 30.",Legacy accessibility cleanup and MVP release.,Correct,Correct,Matched the answer key.
Q03,What is the only active blocker at the end of Day 30?,Keyboard-only smoke coverage is incomplete.,"E086 (0.434): Event ID: E086 | Day: Day 30 | Date: 7/13/2026 | Update Type: Status Update | Task: Legacy accessibility cleanup | Owner: Sidhaanth | Status: Delayed | Blocker: Keyboard-only smoke coverage is the only active blocker. | Requirement Change: Courses 1-3 remain the cleanup boundary; no broad allowlist is permitted. | Memory Action: Update | Validity: Current | Replaces Event: E084 | Note: Accessibility cleanup is delayed with one explicit active blocker at the end of Day 30.
E009 (0.157): Event ID: E009 | Day: Day 3 | Date: 6/16/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Active | Requirement Change: Initial release target is July 13, 2026. | Memory Action: Remember | Validity: Outdated | Note: The first release target is set to the end of Day 30.
E051 (0.157): Event ID: E051 | Day: Day 17 | Date: 6/30/2026 | Update Type: Bug | Task: Privacy-safe learning analytics | Owner: Dhruv | Status: Blocked | Blocker: Legacy quizzes bypass the shared event hook. | Memory Action: Update | Validity: Outdated | Replaces Event: E049 | Note: Analytics is blocked until legacy completion is captured safely.
E050 (0.143): Event ID: E050 | Day: Day 17 | Date: 6/30/2026 | Update Type: Status Update | Task: Terminal draft recovery | Owner: Aditya | Status: Completed | Memory Action: Update | Validity: Current | Replaces Event: E022 | Note: Draft persistence, recovery controls, and regression tests are complete.
E049 (0.136): Event ID: E049 | Day: Day 17 | Date: 6/30/2026 | Update Type: Code Review | Task: Privacy-safe learning analytics | Owner: Dhruv | Status: Under Review | Blocker: Legacy quiz pages do not emit completion events. | Memory Action: Update | Validity: Outdated | Replaces Event: E048 | Note: Review finds that the new event hooks miss legacy quiz flows.",Incomplete keyboard-only smoke coverage.,Correct,Correct,Matched the answer key.
Q04,What is the current MVP release target?,July 17 2026.,"E009 (0.624): Event ID: E009 | Day: Day 3 | Date: 6/16/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Active | Requirement Change: Initial release target is July 13, 2026. | Memory Action: Remember | Validity: Outdated | Note: The first release target is set to the end of Day 30.
E085 (0.374): Event ID: E085 | Day: Day 30 | Date: 7/13/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Delayed | Blocker: Keyboard coverage remains incomplete. | Requirement Change: Move the release target from July 13 to July 17, 2026. | Memory Action: Update | Validity: Current | Replaces Event: E009 | Note: The release slips four days rather than waiving the accessibility gate.
E081 (0.294): Event ID: E081 | Day: Day 28 | Date: 7/11/2026 | Update Type: Requirement Change | Task: MVP release | Owner: Shaurya | Status: Active | Requirement Change: Release requires keyboard-only coverage for core catalog and terminal controls. | Memory Action: Remember | Validity: Current | Note: Keyboard coverage becomes a release requirement rather than a later enhancement.
E045 (0.129): Event ID: E045 | Day: Day 15 | Date: 6/28/2026 | Update Type: Feature Removed | Task: Live Help offline fallback | Owner: Sukriti | Status: Canceled | Blocker: The iframe limitation remains. | Requirement Change: Remove the Live Help fallback from this MVP and keep it in the future backlog. | Memory Action: Forget | Validity: Irrelevant | Replaces Event: E029 | Note: The blocked fallback is removed from the current release scope.
E034 (0.109): Event ID: E034 | Day: Day 12 | Date: 6/25/2026 | Update Type: Decision | Task: Cloud terminal deployment | Owner: Tavish | Status: Active | Requirement Change: Replace OCI as primary with an Azure VM; retain only generic operational lessons. | Memory Action: Update | Validity: Current | Replaces Event: E025 | Note: Azure becomes the primary deployment target and the OCI-first plan is abandoned.","July 17, 2026.",Correct,Correct,Matched the answer key.
Q05,Which planned feature was removed because an existing mock mode already covered the need?,Standalone terminal demo mode.,"E035 (0.468): Event ID: E035 | Day: Day 12 | Date: 6/25/2026 | Update Type: Feature Removed | Task: Standalone terminal demo mode | Owner: Rohan | Status: Canceled | Requirement Change: Remove the standalone launcher because existing mock mode covers the need. | Memory Action: Forget | Validity: Irrelevant | Replaces Event: E007 | Note: The duplicate demo feature is removed from the MVP.
E007 (0.211): Event ID: E007 | Day: Day 3 | Date: 6/16/2026 | Update Type: Task Created | Task: Standalone terminal demo mode | Owner: Rohan | Status: Planned | Requirement Change: Add a separate demo launcher beside the existing mock terminal path. | Memory Action: Remember | Validity: Irrelevant | Note: A standalone demo launcher is proposed as a separate MVP feature.
E045 (0.124): Event ID: E045 | Day: Day 15 | Date: 6/28/2026 | Update Type: Feature Removed | Task: Live Help offline fallback | Owner: Sukriti | Status: Canceled | Blocker: The iframe limitation remains. | Requirement Change: Remove the Live Help fallback from this MVP and keep it in the future backlog. | Memory Action: Forget | Validity: Irrelevant | Replaces Event: E029 | Note: The blocked fallback is removed from the current release scope.
E002 (0.099): Event ID: E002 | Day: Day 1 | Date: 6/14/2026 | Update Type: Task Created | Task: Browser smoke tests | Owner: Ishaan | Status: Planned | Requirement Change: Cover catalog, course, mock terminal, and progress flows without a live backend. | Memory Action: Remember | Validity: Outdated | Note: The browser smoke suite is created as a frontend-only task.
E019 (0.090): Event ID: E019 | Day: Day 7 | Date: 6/20/2026 | Update Type: Feature Removed | Task: Experimental recovery branch | Owner: Aditya | Status: Canceled | Requirement Change: The experiment is closed after its useful changes move into the main recovery work. | Memory Action: Forget | Validity: Irrelevant | Replaces Event: E016 | Note: The temporary branch is abandoned and must not be treated as an active delivery path.",Standalone terminal demo mode.,Correct,Correct,Matched the answer key.
Q06,Is the Live Help offline fallback still part of the current MVP?,No. It was canceled and removed from the current MVP.,"E045 (0.500): Event ID: E045 | Day: Day 15 | Date: 6/28/2026 | Update Type: Feature Removed | Task: Live Help offline fallback | Owner: Sukriti | Status: Canceled | Blocker: The iframe limitation remains. | Requirement Change: Remove the Live Help fallback from this MVP and keep it in the future backlog. | Memory Action: Forget | Validity: Irrelevant | Replaces Event: E029 | Note: The blocked fallback is removed from the current release scope.
E005 (0.472): Event ID: E005 | Day: Day 2 | Date: 6/15/2026 | Update Type: Task Created | Task: Live Help offline fallback | Owner: Sukriti | Status: Planned | Requirement Change: Add privacy notice, suggested prompts, and useful content when chat fails. | Memory Action: Remember | Validity: Outdated | Note: A safer fallback experience for embedded Live Help enters the MVP plan.
E029 (0.330): Event ID: E029 | Day: Day 10 | Date: 6/23/2026 | Update Type: Blocker | Task: Live Help offline fallback | Owner: Sukriti | Status: Blocked | Blocker: The embedded chat does not expose a reliable failure signal. | Memory Action: Update | Validity: Outdated | Replaces Event: E005 | Note: The fallback cannot reliably detect iframe failure and is blocked.
E041 (0.127): Event ID: E041 | Day: Day 14 | Date: 6/27/2026 | Update Type: Task Created | Task: Privacy-safe learning analytics | Owner: Ishaan | Status: Planned | Requirement Change: Add quiz, progress, and Live Help events using allowlisted identifiers only. | Memory Action: Remember | Validity: Outdated | Note: A privacy-safe funnel analytics expansion enters the plan.
E002 (0.061): Event ID: E002 | Day: Day 1 | Date: 6/14/2026 | Update Type: Task Created | Task: Browser smoke tests | Owner: Ishaan | Status: Planned | Requirement Change: Cover catalog, course, mock terminal, and progress flows without a live backend. | Memory Action: Remember | Validity: Outdated | Note: The browser smoke suite is created as a frontend-only task.",No. It was removed from the current MVP and moved to the future backlog.,Correct,Correct,Matched the answer key.
Q07,Which browser testing framework is the current technical decision?,Playwright.,"E003 (0.353): Event ID: E003 | Day: Day 1 | Date: 6/14/2026 | Update Type: Decision | Task: Browser test framework | Owner: Ishaan | Status: Planned | Requirement Change: Use Cypress for the first smoke suite. | Memory Action: Remember | Validity: Irrelevant | Note: The team initially selects Cypress, but this technical choice is later abandoned.
E014 (0.203): Event ID: E014 | Day: Day 5 | Date: 6/18/2026 | Update Type: Decision | Task: Browser test framework | Owner: Shaurya | Status: Active | Requirement Change: Replace Cypress with the already-installed Playwright stack. | Memory Action: Update | Validity: Current | Replaces Event: E003 | Note: Playwright replaces Cypress to reuse the repository's working test path.
E008 (0.146): Event ID: E008 | Day: Day 3 | Date: 6/16/2026 | Update Type: Blocker | Task: Browser smoke tests | Owner: Ishaan | Status: Blocked | Blocker: CI cannot install the browser dependency reliably. | Memory Action: Update | Validity: Outdated | Replaces Event: E002 | Note: The smoke suite is blocked by a browser installation hang in CI.
E037 (0.142): Event ID: E037 | Day: Day 13 | Date: 6/26/2026 | Update Type: Temporary Information | Task: Progress test fixtures | Owner: Ethan | Status: Active | Memory Action: Forget | Validity: Irrelevant | Note: Synthetic progress records are loaded for browser testing only.
E017 (0.140): Event ID: E017 | Day: Day 6 | Date: 6/19/2026 | Update Type: Blocker Resolved | Task: Browser smoke tests | Owner: Shaurya | Status: Active | Requirement Change: Pinning the existing browser package removes the install hang. | Memory Action: Update | Validity: Outdated | Replaces Event: E013 | Note: The CI installation blocker is resolved without adding a second browser stack.",Playwright.,Correct,Correct,Matched the answer key.
Q08,Which cloud platform is the current primary terminal deployment target?,Azure VM.,"E034 (0.386): Event ID: E034 | Day: Day 12 | Date: 6/25/2026 | Update Type: Decision | Task: Cloud terminal deployment | Owner: Tavish | Status: Active | Requirement Change: Replace OCI as primary with an Azure VM; retain only generic operational lessons. | Memory Action: Update | Validity: Current | Replaces Event: E025 | Note: Azure becomes the primary deployment target and the OCI-first plan is abandoned.
E025 (0.345): Event ID: E025 | Day: Day 9 | Date: 6/22/2026 | Update Type: Decision | Task: Cloud terminal deployment | Owner: Tavish | Status: Planned | Requirement Change: Use an OCI free-tier VM as the primary production deployment. | Memory Action: Remember | Validity: Irrelevant | Note: OCI is selected as the first deployment path.
E040 (0.315): Event ID: E040 | Day: Day 14 | Date: 6/27/2026 | Update Type: Blocker Resolved | Task: Cloud terminal deployment | Owner: Tavish | Status: Completed | Requirement Change: The corrected environment and health check pass. | Memory Action: Update | Validity: Current | Replaces Event: E036 | Note: The primary terminal deployment is verified and the health-check blocker is closed.
E036 (0.259): Event ID: E036 | Day: Day 12 | Date: 6/25/2026 | Update Type: Deployment | Task: Cloud terminal deployment | Owner: Tavish | Status: Blocked | Blocker: The health check fails after provisioning. | Memory Action: Remember | Validity: Outdated | Note: The first Azure deployment cannot pass its health check.
E009 (0.175): Event ID: E009 | Day: Day 3 | Date: 6/16/2026 | Update Type: Deadline Change | Task: MVP release | Owner: Team | Status: Active | Requirement Change: Initial release target is July 13, 2026. | Memory Action: Remember | Validity: Outdated | Note: The first release target is set to the end of Day 30.",An Azure VM.,Correct,Correct,Matched the answer key.
Q09,What is the current terminal draft recovery requirement?,"Show a visible recovered state and a confirmed discard control, using challenge-scoped storage.","E050 (0.504): Event ID: E050 | Day: Day 17 | Date: 6/30/2026 | Update Type: Status Update | Task: Terminal draft recovery | Owner: Aditya | Status: Completed | Memory Action: Update | Validity: Current | Replaces Event: E022 | Note: Draft persistence, recovery controls, and regression tests are complete.
E001 (0.474): Event ID: E001 | Day: Day 1 | Date: 6/14/2026 | Update Type: Task Created | Task: Terminal draft recovery | Owner: Aditya | Status: Planned | Requirement Change: Show a visible recovery prompt and discard control after reload. | Memory Action: Remember | Validity: Outdated | Note: Draft recovery is planned with visible controls and challenge-scoped local storage.
E022 (0.415): Event ID: E022 | Day: Day 8 | Date: 6/21/2026 | Update Type: Blocker Resolved | Task: Terminal draft recovery | Owner: Aditya | Status: Active | Requirement Change: Challenge-scoped keys eliminate cross-challenge draft leakage. | Memory Action: Update | Validity: Outdated | Replaces Event: E015 | Note: The storage-key bug is fixed and recovery work resumes.
E021 (0.407): Event ID: E021 | Day: Day 7 | Date: 6/20/2026 | Update Type: Requirement Change | Task: Terminal draft recovery | Owner: Aditya | Status: Active | Requirement Change: Replace the visible recovery banner with silent automatic restore. | Memory Action: Update | Validity: Outdated | Replaces Event: E004 | Note: The recovery UX changes to silent restore with no browse or discard controls.
E047 (0.342): Event ID: E047 | Day: Day 16 | Date: 6/29/2026 | Update Type: Requirement Change | Task: Terminal draft recovery | Owner: Aditya | Status: Active | Requirement Change: Restore a visible recovered state and confirmed discard control after learner feedback. | Memory Action: Update | Validity: Current | Replaces Event: E021 | Note: Silent-only recovery is replaced by explicit controls with safer challenge scoping.",Use challenge-scoped draft persistence with a visible recovered state and confirmed discard control.,Correct,Correct,Matched the answer key.
Q10,Who owns guided learning paths and what is their current status?,"Aryan Raj owns the task, and it is completed.","E076 (0.316): Event ID: E076 | Day: Day 26 | Date: 7/9/2026 | Update Type: Pull Request | Task: Guided learning paths | Owner: Aryan Raj | Status: Completed | Memory Action: Update | Validity: Current | Replaces Event: E074 | Note: Guided learning paths merge with manual navigation preserved.
E052 (0.272): Event ID: E052 | Day: Day 18 | Date: 7/1/2026 | Update Type: Task Created | Task: Guided learning paths | Owner: Ashwin | Status: Planned | Requirement Change: Group existing courses into beginner-friendly paths without hiding the full catalog. | Memory Action: Remember | Validity: Outdated | Note: Guided paths are added to the release plan.
E060 (0.228): Event ID: E060 | Day: Day 20 | Date: 7/3/2026 | Update Type: Blocker | Task: Guided learning paths | Owner: Ashwin | Status: Delayed | Blocker: A mobile layout and preserved manual navigation are still undefined. | Memory Action: Update | Validity: Outdated | Replaces Event: E052 | Note: Guided paths are delayed until the responsive interaction is clarified.
E074 (0.208): Event ID: E074 | Day: Day 25 | Date: 7/8/2026 | Update Type: Code Review | Task: Guided learning paths | Owner: Aryan Raj | Status: Under Review | Memory Action: Update | Validity: Outdated | Replaces Event: E073 | Note: The repaired guided-path implementation receives final review.
E070 (0.204): Event ID: E070 | Day: Day 24 | Date: 7/7/2026 | Update Type: Bug | Task: Guided learning paths | Owner: Aryan Raj | Status: Blocked | Blocker: Existing course links are no longer reachable from the catalog. | Memory Action: Update | Validity: Outdated | Replaces Event: E068 | Note: The guided-path patch is blocked by a navigation regression.",Aryan Raj; completed.,Correct,Correct,Matched the answer key.
