Event ID,Day,Date,Update Type,Task,Owner,Status,Blocker,Requirement Change,Memory Action,Validity,Replaces Event,GitHub Evidence,Note
E001,Day 1,6/14/2026,Task Created,Terminal draft recovery,Aditya,Planned,,Show a visible recovery prompt and discard control after reload.,Remember,Outdated,,Issue #141 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/141,Draft recovery is planned with visible controls and challenge-scoped local storage.
E002,Day 1,6/14/2026,Task Created,Browser smoke tests,Ishaan,Planned,,"Cover catalog, course, mock terminal, and progress flows without a live backend.",Remember,Outdated,,Issue #145 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/145,The browser smoke suite is created as a frontend-only task.
E003,Day 1,6/14/2026,Decision,Browser test framework,Ishaan,Planned,,Use Cypress for the first smoke suite.,Remember,Irrelevant,,Synthesized from surrounding repository activity,"The team initially selects Cypress, but this technical choice is later abandoned."
E004,Day 2,6/15/2026,Status Update,Terminal draft recovery,Aditya,Active,,,Update,Outdated,E001,PR #147 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/147,Implementation starts on challenge-scoped restore and discard behavior.
E005,Day 2,6/15/2026,Task Created,Live Help offline fallback,Sukriti,Planned,,"Add privacy notice, suggested prompts, and useful content when chat fails.",Remember,Outdated,,Issue #142 | https://github.com/Cyber-Minds/cyber-minds.github.io/issues/142,A safer fallback experience for embedded Live Help enters the MVP plan.
E006,Day 2,6/15/2026,Temporary Information,Draft demo checklist,Team,Active,,,Forget,Irrelevant,,Synthesized from surrounding repository activity,A one-day demo checklist is shared for the next review and should not guide later project answers.
E007,Day 3,6/16/2026,Task Created,Standalone terminal demo mode,Rohan,Planned,,Add a separate demo launcher beside the existing mock terminal path.,Remember,Irrelevant,,Synthesized from surrounding repository activity,A standalone demo launcher is proposed as a separate MVP feature.
E008,Day 3,6/16/2026,Blocker,Browser smoke tests,Ishaan,Blocked,CI cannot install the browser dependency reliably.,,Update,Outdated,E002,PR #148 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/148,The smoke suite is blocked by a browser installation hang in CI.
E009,Day 3,6/16/2026,Deadline Change,MVP release,Team,Active,,"Initial release target is July 13, 2026.",Remember,Outdated,,Synthesized from surrounding repository activity,The first release target is set to the end of Day 30.
E010,Day 4,6/17/2026,Testing,Terminal draft recovery,Ethan,Under Review,Drafts can appear under the wrong challenge after navigation.,,Retrieve,Outdated,,Review on PR #147 | https://github.com/Cyber-Minds/cyber-minds.github.io/pull/147,QA reproduces a challenge-scope leak during restore.
